"","gname","times"
"102","Al-Adl Wal Ihsane",5
"103","Al-Ahwaz Arab People's Democratic Front",3
"104","Al-Aqsa-Group",1
"105","Al-Aqsa Martyrs Brigade",169
"106","Al-Arifeen",4
"107","Al-Ashtar Brigades",10
"108","Al-Badr",2
"109","Al-Bakazim",2
"110","Albanian exiles",1
"111","Albanian National Army (ANA)",6
"112","Albanians",32
"113","Albanian Separatists",2
"114","Albatros Commando",1
"115","Al-Borkan Liberation Organization",2
"116","Alcubar group",1
"117","Al-Da'wah Party",1
"118","Alejo Calatayu",2
"119","Aleppo Fatah Operations Room",2
"120","Alexander Villalon (YADO)",1
"121","Alexandros Grigoropoulos Anarchist Attack Group",1
"122","Alex Boncayao Brigade (ABB)",11
"123","Alfa 83",1
"124","Al-Fajr",1
"125","Al-Faran",2
"126","Alfaro Vive",27
"127","Al-Faruo Battalion",4
"128","Al-Faruq Militia",1
"129","Al-Fatah",56
"130","Al-Fatihin Army (AFA)",1
"131","Al-Furqan Brigades",3
"132","Al-Gama'at al-Islamiyya (IG)",259
"133","Algeisk Wolves",3
"134","Algerian Islamic Extremists",373
"135","Algerian Moslem Fundamentalists",3
"136","Algerian Mujahideen for Muslims",1
"137","Algeria Province of the Islamic State",3
"138","Al-Hadid",2
"139","Al-Hamas Mujahideen",1
"140","Al-Haramayn Brigades",3
"141","Al-Haydariyah Battalion",1
"142","Al-Herak Al-Tihami Movement",1
"143","Al-Intiqami al-Pakistani",2
"144","Al-Islah Party",4
"145","Al-Ittihaad al-Islami (AIAI)",5
"146","Al-Jehad",3
"147","Al-Jihad",10
"148","Al-Jihad (Pakistan)",1
"149","Al-Jub Tribe",1
"150","Al-Khobar",9
"151","Allah's Tigers",2
"152","All Burma Students' Democratic Front (ABSDF)",5
"153","Allende Lives Commando",1
"154","All Ethiopian Unity Party (AEUP)",1
"155","All for the Fatherland Movement",1
"156","Alliance of Patriots for a Free and Sovereign Congo (APCLS)",6
"157","Alliance of Revolutionary Cuban Organizations",1
"158","Allied Democratic Forces (ADF)",135
"159","Allied Democratic Forces of Guinea (RDFG)",1
"160","All India Anna Dravida Munetra Kazgan Party",3
"161","All India Sikh Students Federation (AISSF)",5
"162","All Kamatapur Liberation Force",1
"163","All Karanataka Youth Council",1
"164","All Nepal Free Nationalist Students Union",1
"165","All Nepal National Free Student Union-Revolutionary",2
"166","All-Party Students Union",1
"167","All Tripura Tiger Force (ATTF)",13
"168","Al-Madani Brigade",1
"169","Al-Madina",4
"170","Al-Mansoorian",17
"171","Al-Marabitun Revolutionary Committee",1
"172","Al-Masni Tribe",1
"173","Al-Ma'unah",2
"174","Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood)",11
"175","Al-Mujahedin Brigades (Palestine)",1
"176","Al-Mus'abi Tribe",1
"177","Al-Naqshabandiya Army",35
"178","Al-Nasireen Group",3
"179","Al-Nasirin (India)",2
"180","Al-Nawaz",1
"181","Al-Nusrah Front",210
"182","Alpha-66 (Cuban counterrevolutionary)",1
"183","Al-Qaida",59
"184","Al-Qaida in Iraq",635
"185","Al-Qaida in Lebanon",1
"186","Al-Qaida in Saudi Arabia",7
"187","Al-Qaida in the Arabian Peninsula (AQAP)",893
"188","Al-Qaida in the Indian Subcontinent",7
"189","Al-Qaida in the Islamic Maghreb (AQIM)",237
"190","Al-Qaida in Yemen",12
"191","Al-Qaida Network for Southwestern Khulna Division",2
"192","Al-Qaida Organization for Jihad in Sweden",1
"193","Al-Qaqa Brigade",5
"194","Al-Qassam Brigades",1
"195","Al-Saadawi Militia",1
"196","Al-Sadr Brigades",3
"197","Al-Sa'iqa",2
"198","Al-Sawaiq Brigade",1
"199","Al-Shabaab",2127
"200","Al-Shabaab al-Mu'minin",4
"201","Al-Sham Legion",3
"202","Al-Shuda Brigade",5
"203","Al-Sunna wal Jamma",1
"204","Al-Sunni muslim sect",1
"205","Al-Toaiman Tribesmen",2
"206","Al-Umar Mujahideen",10
"207","Al-Ummah",16
"208","Al-Yemenia al-Ulia Tribesmen",1
"209","Al-Zaidi Tribe - Mareb",1
"210","Al Zawahiri Loyalists",1
"211","Al-Zintan Revolutionaries' Military Council",1
"212","Al-Zulfikar",8
"213","Amal",27
"214","Amazigh Islamic Front",1
"215","Amazonas Liberation Front",1
"216","America Battalion",6
"217","American Anticommunist Association (AAA)",1
"218","American Indian Movement",6
"219","American Servicemen's Union (ASU)",3
"220","Americans for a Competent Federal Judicial System",5
"221","Americans for Justice",2
"222","Amhara tribal group",1
"223","Amr Bil Maroof Wa Nahi Anil Munkir",3
"224","Ana Maria Martinly August 22 Brigade",1
"225","Ananda Marga",2
"226","Anarchio Scene",1
"227","Anarchist Action (CA / United States)",1
"228","Anarchist Anti-Capitalist Action Group",1
"229","Anarchist Attack Consortium",1
"230","Anarchist Cell Acca (C.A.A.)",1
"231","Anarchist Commando Nestor Makhno Group",1
"232","Anarchist Faction",2
"233","Anarchist Liberation Brigade",1
"234","Anarchists",72
"235","Anarchists Attack Team",1
"236","Anarchist Solidarity",2
"237","Anarchist Squad",1
"238","Anarchist Struggle",1
"239","Anarkista Jorge Banos Front of the Everyone For The Homeland Movement (MTP)",1
"240","Anbar Salvation Council",1
"241","Andres Castro United Front",3
"242","Angels",1
"243","Angolan Defense Force",1
"244","Angola Rebels",2
"245","Angry Brigade",3
"246","Angry Brigade (Italy)",2
"247","Angry Foxes Cell",1
"248","Aniban ng Ayaw sa Komunista (ANAK) ",1
"249","Animal Defense League",1
"250","Animal Liberation Front (ALF)",115
"251","Animal Rights Activists",15
"252","Animal Rights Militia",3
"253","Anonima Sequestri",1
"254","Anonymous Underground Movement (MCA)",1
"255","Ansar al-Din",1
"256","Ansar al-Dine (Mali)",19
"257","Ansar al-Din Front",2
"258","Ansar al-Imam Musa al-Sadr",1
"259","Ansar al-Islam",29
"260","Ansar al-Jihad",1
"261","Ansar Al-Khilafa (Philippines)",1
"262","Ansar Allah",1
"263","Ansar al-Sharia (Libya)",62
"264","Ansar al-Sharia Operations Room (Syria)",7
"265","Ansar al-Sharia (Tunisia)",12
"266","Ansar al-Sunna",17
"267","Ansar Al Sunnah (Palestine)",3
"268","Ansar al-Tahwid wal Sunna",1
"269","Ansar Bayt al-Maqdis (Ansar Jerusalem)",71
"270","Ansar Sarallah",1
"271","Ansaru ash-Sharia (Russia)",1
"272","Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan)",6
"273","Ansarul Islam (Pakistan)",2
"274","Ansarullah Bangla Team",7
"275","Ansar Wa Mohajir (Pakistan)",2
"276","Anti-Abortion Activists",171
"277","Anti-AF",1
"278","Anti-American Arab Liberation Front",1
"279","antiapartheid guerrillas",1
"280","Anti-Apostate Movement Alliance (AGAP)",1
"281","Anti-Armenian Organization",2
"282","Anti-Authority Group (Greece)",13
"283","Anti-Balaka Militia",53
"284","Anti-Bhutto demonstrators",1
"285","Anti-Capitalist Action",1
"286","Anti-Capitalist Brigades",1
"287","Anti-Capitalist Commando",1
"288","Anti-Castro Command",3
"289","Anti-Castro Group",3
"290","Anti-Chon radical elements",1
"291","Anti-Clerical Pro-Sex Toys Group",2
"292","Anti-Communist Action Alliance",1
"293","Anti-Communist Command (KAK)",1
"294","Anti-Communist Commando of the South",4
"295","Anti-Communist Patriotic Front",2
"296","Anti-Communist rebels",1
"297","Anti-Communist Viets Organization",1
"298","Anti-Communist Vigilante Group",4
"299","Anti-Communist Vigilante Patrol",1
"300","Anti-Democratic Struggle",2
"301","Anti - Election Demonstrators",1
"302","Anti-Environmentalist",3
"303","Anti-Establishment Nucleus",2
"304","Anti-Fascist Action",1
"305","Anti-Fascist Territorial Group",2
"306","Anti-Gentrification Front",1
"307","Anti-Government Demonstrators",7
"308","Anti-Government Group",25
"309","Anti-Government Guerrillas",20
"310","Anti-Government Rebels",7
"311","Anti-government rioters",1
"312","Anti-govt student groups",1
"313","anti-hunting protestors",1
"314","Anti-Immigrant Activists",3
"315","Anti-Imperialist Cell (AIZ)",3
"316","Anti-Imperialist Commando",1
"317","Anti-Imperialist Fighters for a Free Palestine",1
"318","Anti-Imperialistic Communist Revolutionaries",2
"319","Anti-Imperialist International Brigades",4
"320","Anti-Imperialist Patriotic Union",1
"321","Anti-Imperialist Students Council",1
"322","Anti-Imperialist Territorial Nuclei (NTA)",2
"323","Anti-Iran Government Exiles",10
"324","Anti-Kurdish Turks",2
"325","Anti Kurdish Workers Party Iraq nationals",1
"326","Anti-Marxist Commando",1
"327","Anti-Monarchists",7
"328","Anti-Narita Extremists",2
"329","Anti-Nuclear Group",14
"330","Anti-Nuclear Society for a Silent Counter-Offensive (ANGST)",1
"331","Anti-Racist Guerrilla Nuclei",1
"332","Anti-Revolutionary Agents",3
"333","Anti-Semitists",1
"334","Anti Shah of Iran",1
"335","Anti-Socials",2
"336","Anti Somoza Gp, name unk",1
"337","Anti-Soviet protest group",1
"338","Anti-State Action",3
"339","Anti-State Justice",5
"340","Anti-State Proletarian Nuclei",1
"341","Anti-Terrorism ETA (ATE)",8
"342","Anti-Terrorist Liberation Group (GAL)",20
"343","Anti-U.S. radicals",1
"344","Anti-Zionist Commandos",3
"345","Anti-Zionist Movement",2
"346","Antonia Martinez Student Commandos (AMSC)",1
"347","Antonio",1
"348","Anya-Nya II Militia",1
"349","April 6th Liberation Movement",31
"350","Aqmur",1
"351","Arab Commando Cells",1
"352","Arab Communist Organization",10
"353","Arab Democratic Party",4
"354","Arabian Peninsula Freemen",1
"355","Arab Liberation Army",1
"356","Arab Liberation Front (ALF)",4
"357","Arab Movement of Azawad (MAA)",7
"358","Arab People's Group",1
"359","Arab Revenge Organization",1
"360","Arab Revolutionary Army",8
"361","Arab Revolutionary Cells",3
"362","Arab Revolutionary Front",1
"363","Arab Revolution/Liberation Vanguard Organization",6
"364","Arabs",17
"365","Arab Separatists",23
"366","Arab Socialist Baath Party",2
"367","Arab Socialist Baath Party of Iraq",1
"368","Arab Socialist Union Members",1
"369","Arab Steadfastness Front",1
"370","Arab Struggle",1
"371","Arab Unionist Nationalist Organization",1
"372","Arab Youth Group (Militant)",1
"373","Arakan Army (AA)",1
"374","Arakan Liberation Party (ALP)",2
"375","Arakan Rohingy Islamic Front",1
"376","Arauco Malleco Coordinating Group (CAM) - Chile",2
"377","Arbav Martyrs of Khuzestan",1
"378","A Resistance Group",1
"379","Argentina Libre (Free Argentina)",1
"380","Argentine Anticommunist Alliance (AAA)",19
"381","Argentine Liberation Front (FAL)",7
"382","Argentine National Organization Movement (MANO)",2
"383","Argentine Youths for Sovereignty",1
"384","Ariska Brodraskapet (Aryan Brotherhood)",1
"385","Aristide supporters",4
"386","Armata Corsa",3
"387","Armata di Liberazione Naziunale (ALN)",8
"388","Armed Action Force (FADA)",1
"389","Armed Anti-Imperialist Movement",1
"390","Armed Brigades",1
"391","Armed Commandos for Liberation",1
"392","Armed Commandos in the Fighting Army of Mario Zichieri",2
"393","Armed Commandos of Liberation",13
"394","Armed Commandos of Student Self Defense",1
"395","Armed Communist Commando",1
"396","Armed Communist Formations",5
"397","Armed Communist Front",1
"398","Armed Communist Nucleus",4
"399","Armed Communist Struggle",3
"400","Armed Falange",6
"401","Armed Fight for Communism",4
"402","Armed Fight for Workers Power",1
"403","Armed Fighting Nucleus For Communism",1
"404","Armed Forces for a Federal Republic (FARF)",1
"405","Armed Forces for Liberation of East Timor (FALINTIL)",2
"406","Armed Forces for National Salvation - Army of the People (FASN-EP)",2
"407","Armed Forces of National Liberation- Venezuela (FALN)",4
"408","Armed Forces of National Resistance (FARN)",39
"409","Armed Forces of Popular Resistance (FARP)",3
"410","Armed Forces of the Chechen Republic of Ichkeria",12
"411","Armed Forces Revolutionary Council (AFRC)",2
"412","Armed Gold Miners",1
"413","Armed Group for the Defence of the People",2
"414","Armed Group for the Liberation of Guadeloupe (GLAG)",6
"415","Armed Groups for Communism",1
"416","Armed Groups of Organised Proletariat",1
"417","armed guerrillas",1
"418","Armed Islamic Group (GIA)",236
"419","Armed Islamic Movement",1
"420","Armed Nuclei for Communism",2
"421","Armed Nuclei for Territorial Counterpower",3
"422","Armed Nucleus for Popular Autonomy",6
"423","Armed Nucleus of Communist Workers",1
"424","Armed People",21
"425","Armed People's Units",1
"426","Armed Proletarian Formations",1
"427","Armed Proletarian Group",1
"428","Armed Proletarian Groups for Communism",4
"429","Armed Proletarian Nuclei (NAP)",30
"430","Armed Proletarian Patrols",1
"431","Armed Proletarian Power",6
"432","Armed Proletarian Squads",6
"433","Armed Proletariat Fighting Squad",1
"434","Armed Radical Groups for Communism",1
"435","Armed Revolutionary Action (ENEDRA)",2
"436","Armed Revolutionary Groups",1
"437","Armed Revolutionary Independence Movement (MIRA)",30
"438","Armed Revolutionary Nuclei (NAR)",20
"439","Armed Squads for Communism",3
"440","Armed Struggle Cells",1
"441","Armed Struggle for Communism",4
"442","Armed Struggle for Proletarian Power",1
"443","Armed Struggle Organization",1
"444","Armed Subversives",1
"445","Armed Vanguards of a Second Mohammed Army",1
"446","Armed Womens Nuclei",1
"447","Armed Workers Nuclei",1
"448","Armed Workers Squads",4
"449","Armenian Extremists",2
"450","Armenian Group",5
"451","Armenian Guerrillas",9
"452","Armenian militants",4
"453","Armenian Nationalists",3
"454","Armenian Organization for Armed Struggle",1
"455","Armenian paramilitary group",1
"456","Armenian Red Army",1
"457","Armenian Revolutionary Army",1
"458","Armenians",7
"459","Armenian Secret Army for the Liberation of Armenia",186
"460","Army for Freeing Scotland",3
"461","Army of God",24
"462","Army of Islam",3
"463","Army of State Liberators",1
"464","Army of the Republic of Ilirida",2
"465","Army of the Tribes",3
"466","Arnoldo Camu Command",1
"467","Arsonists",2
"468","Arsonists for Social Cohesion",3
"469","Artigas-Giachino Command",1
"470","Artigas Guard Commando",1
"471","Arya",2
"472","Aryan Brotherhood",2
"473","Aryan Nation",6
"474","Aryan Republican Army",16
"475","Asa'ib Ahl al-Haqq",12
"476","Asbat al-Ansar",3
"477","Ashuar Tribe",1
"478","Association for the Enhancement of the Justice of the Great Japan",1
"479","Association of Demobilized Armed Forces",3
"480","Association of Mobil Spill Affected Communities (AMSAC)",1
"481","Association of Students and Pupils in Mali (AEEM)",1
"482","Association Totalement Anti-Guerre (ATAG)",1
"483","Asylum Seekers",1
"484","ATALA",1
"485","Athens and Thessaloniki Arsonist Nuclei",8
"486","Attaches",1
"487","Attack Teams for the Dissolution of the Nation (Greece)",3
"488","Aum Shinri Kyo",8
"489","Autonomen",2
"490","Autonomous Anarchist Groups",1
"491","Autonomous Anti-Capitalist Commandos (CAA)",10
"492","Autonomous Decorators",1
"493","Autonomous Group for Armed Action",1
"494","Autonomous Groups",1
"495","Autonomous Intervention Collective Against the Zionist Presence in France",1
"496","Autonomous Manuel Rodriguez Patriotic Front",3
"497","Autonomous Resistance",3
"498","Autonomous Revolutionary Brigade",1
"499","Autonomous Students",1
"500","Autonomy Front",2
"501","Autonomy (Greece)",1
"502","Autonomy (Italy)",11
"503","Autonomy-Seeking Arabs",3
"504","Avengers of Peiper Group",1
"505","Avengers of the Infants",2
"506","Avenge the Arab Nation",1
"507","Awami League",30
"508","Awdal Regional Administration Army (ARAA)",1
"509","Ayesha bint al-Sadiq Brigade",1
"510","Azadejan (Liberation)",1
"511","Azania People's Organization (AZAPO)",5
"512","Azawad National Liberation Movement (MNLA)",22
"513","Azerbaijan Guerrillas",8
"514","Azerbaijan Weapons Smugglers",1
"515","Baader-Meinhof Group",56
"516","Ba'adi (on my own behalf)",1
"517","Baba Ladla Gang",2
"518","Babbar Khalsa International (BKI)",11
"519","Baby Liberation Army",1
"520","Badr Brigades",1
"521","Bahrain Province of the Islamic State",1
"522","Bahujan Samaj Party",2
"523","Balochistan Liberation United Front (BLUF)",28
"524","Balochistan National Army",1
"525","Baloch Liberation Army (BLA)",145
"526","Baloch Liberation Front (BLF)",125
"527","Baloch Liberation Tigers (BLT)",8
"528","Baloch Militant Defense Army",1
"529","Baloch Mussalah Diffah Tanzim (BMDT)",1
"530","Baloch Nationalists",29
"531","Baloch National Liberation Front",2
"532","Baloch Republican Army (BRA)",277
"533","Baloch Republican Guards (BRG)",7
"534","Baloch Waja Liberation Army (BWLA)",5
"535","Baloch Young Tigers (BYT)",3
"536","Bande des Rats (the rat pack) Ukranian Group",1
"537","Bandits",12
"538","Bangalee Somo Odhikar Andolon",1
"539","Bangladesh Communist Party",1
"540","Bangladesh Nationalist Party (BNP)",80
"541","Bangladesh National Socialist Party",1
"542","Bangladesh Road Transport Workers Federation",2
"543","Bangladesh Sarbahara Party",6
"544","Bangladesh Tiger Force",1
"545","Bangsamoro Islamic Freedom Movement (BIFM)",267
"546","Bangsamoro National Liberation Army",1
"547","Bani Hilal Tribe",1
"548","Bani Jaber tribe",1
"549","Bani Nawaf tribe",1
"550","Banner of Islam",1
"551","Banyamulenge rebels",1
"552","Banya Tribe",1
"553","Barak Valley Tiger Force (BVTF)",1
"554","Barisan Revolusi Nasional (BRN)",10
"555","Barq al-Nasser Brigade",1
"556","Barqa Province of the Islamic State",89
"557","Barzani Guerrillas",1
"558","Basic People's Congresses",1
"559","Basque Country Autonomous Self-Defense Group",1
"560","Basque Fatherland and Freedom (ETA)",2024
"561","Basque guerrillas",2
"562","Basque Justice",1
"563","Basque Militants",2
"564","Basque Rectitudes",6
"565","Basque Refugee Support Group",1
"566","Basque Separatists",8
"567","Basque terrorists",4
"568","Bavarian Liberation Army",3
"569","Baya Tribe",1
"570","BAY Bombers",1
"571","Bedouin Movement (Sudan)",2
"572","Bedouin tribesmen",11
"573","Begumcans Cell",1
"574","Beirut Martyrs Battalion",7
"575","Beirut Martyrs Forces Organization",2
"576","Beja Congress",4
"577","Belarusian Liberation Army",2
"578","Beli Orlovi (White Eagles)",1
"579","Bengali Sangram Mukti Bahini",1
"580","Bengali Tiger Force (BTF)",1
"581","Berom Militants",1
"582","Bersatu",1
"583","Besi Merah Putih Militia",3
"584","Bharatiya Janata Party",2
"585","Bharat Zinc Workers",1
"586","Bhinderanwale Tiger Force of Khalistan (BTHK)",9
"587","Bhisan Himali Bag",1
"588","Bhittani tribe",1
"589","Bhumi Uchched Pratirodh Committee (BUPC)",1
"590","Biafra Zionist Movement (BZM)",2
"591","Bihar People's  Party (Hindu militants)",1
"592","Bini-Oru",1
"593","Bin Zabyan Tribesmen",1
"594","Biswabhumi Sena Bishal Nepal",1
"595","Black African Vigilantes",1
"596","Black Afro Militant Movement",4
"597","Black American Moslems",2
"598","Black and Red Anarchist and Anti-Authoritarians Initiative (Greece)",1
"599","Black Berets",3
"600","Black Brigade",3
"601","Black Brigade (United States)",1
"602","Black Cells",2
"603","Black December",2
"604","Black Eagles",2
"605","Black Flag (Bandera Negra)",2
"606","Black Forest Command",1
"607","Black Friday",1
"608","Black Hand",2
"609","Black Hand (Colombia)",6
"610","Black Hawks (Anti-Wahhabists)",1
"611","Black Lebanon",2
"612","Black Liberation Army",36
"613","Black Liberation Force",1
"614","Black Liberation Front",3
"615","Black Malian Group",1
"616","Black Mambas",1
"617","Black March",2
"618","Black Muslims",6
"619","Black Nationalists",91
"620","Black Order",6
"621","Black Panther Group (Palestinian)",17
"622","Black Panthers",24
"623","Black Revolutionary Assault Team",3
"624","Blacks",3
"625","Black September",49
"626","Black September II",9
"627","Black Star",7
"628","Black Tigers",1
"629","Black War",2
"630","Black Wednesday",3
"631","Black Widows",12
"632","Bloque Anti-Guerrillero de Oriente (BAGO)",1
"633","Blue Archer Group",1
"634","Bodo Liberation Tigers (BLT)",9
"635","Bodo Militants",87
"636","Bodo People’s Front (BPF)",1
"637","Bodu Bala Sena",3
"638","Bodyguards of Muslim Warlord Governor Tupay Loong",1
"639","Boere Aanvals Troepe (BAT)",3
"640","Boer Republikeinse Leer",1
"641","Boer Sentries",1
"642","Boko Haram",1839
"643","Bolivarian Army of Liberation",1
"644","Bolivian Luminous Path",2
"645","Bolivian Socialist Falange",8
"646","Borana bandits",1
"647","Borderless Solidarity Cell (BSC)",1
"648","Boricua Revolutionary Front",1
"649","Bosnian Croats",1
"650","Bosnian refugee",1
"651","Bosnian Serbs",2
"652","Bougainville Revolutionary Army (BRA)",28
"653","Boz-Ok (Grey Arrow)",1
"654","Brazilian Anti-Communist Alliance (AAB)",4
"655","Brazilian Democratic Mobilization Party (PMBD)",1
"656","Brelvi Muslims",2
"657","Breton Liberation Front (FLB)",32
"658","Breton Separatists",6
"659","Breton Terrorist",1
"660","Brigadas Rojas",1
"661","Brigade of al-Mukhtar al-Thaqafi",1
"662","Brigades of Iman Hassan-al-Basri",1
"663","Brigades of Imprisoned Sheikh Omar Abdel-Rahman",3
"664","Broad Commando of National Liberation",1
"665","Broad Front",1
"666","Brother Julian",1
"667","Bru Democratic Front of Mizoram (BDFM)",1
"668","Bru National Liberation Front (BNLF)",1
"669","Brunswijk Jungle Commando",41
"670","Buddhist Monks",40
"671","Budget for the Popular Prep or Death",1
"672","Bunda Dia Kongo (BDK)",1
"673","Burma Communist Party",2
"674","Burmese Minority Group Pirates",1
"675","Burmese refugees",1
"676","BZers",1
"677","Cali Narcotics Cartel",2
"678","Cambodian Freedom Fighters (CFF)",5
"679","Cambodian guerrillas",1
"680","Cambodian Gunmen",1
"681","Cambodian National Front for National Salvation",1
"682","Cambodian People's Party (CPP)",4
"683","Canary Islands Independence Movement",34
"684","Cannibal Army",4
"685","Caribbean Revolutionary Alliance (ARC)",25
"686","Carlos Echeverria commando group",2
"687","Carribbean Revolutionary Independence Army",1
"688","Casamance Separatists",1
"689","Caspian Group",1
"690","Catalan independence group",1
"691","Catalan Liberation Front (FAC)",26
"692","Catalan Militia",1
"693","Catalonian Resistance",1
"694","Catholic E. Timurese",1
"695","Catholic Reaction Force",3
"696","Caucasus Emirate",41
"697","Caucasus Province of the Islamic State",1
"698","CCCCC",5
"699","Cell for Internationalism",1
"700","Cells for Solidarity Against Authority",1
"701","Census Opponents",1
"702","Central African National Liberation Movement",1
"703","Central American Movement of Solidarity (MOSCA)",2
"704","Central American Revolutionary Workers Party (PRTC)",1
"705","Central University students",1
"706","Chakma tribal group",1
"707","Charles Martel Group",3
"708","Charlot Jacquelin Militant Front",1
"709","Chechen Lone Wolf Group",2
"710","Chechen Rebels",327
"711","Che Guevara Brigade",14
"712","Che Guevara Guerrillas",5
"713","Chicano Liberation Front",31
"714","Chicano Radicals",10
"715","Children of November",2
"716","Chilean Anti-Communist Alliance (ACHA)",6
"717","Chilean Committee of Support for the Peruvian Revolution",1
"718","Chinese Illegal Immigrant",1
"719","Chinese Mafia",1
"720","Chinese Pirates",1
"721","Chin National Army",1
"722","Chondaehyop (Radical Student Coalition)",1
"723","Chonson Univ. students",1
"724","Christ Chaos",3
"725","Christian extremists",8
"726","Christian Group for the Respect for Life",1
"727","Christian Liberation Army",2
"728","Christian Palestinian group",1
"729","Chukakuha (Middle Core Faction)",61
"730","Chukakuha Revolutionary Army",1
"731","Cinchoneros Popular Liberation Movement",24
"732","Citizen's Rights Protection Volunteers",2
"733","Citizens Volunteer Force",1
"734","Civic Guard",1
"735","Civic United Front (CUF)",1
"736","Civil Association for Peace in Colombia, Asocipaz",1
"737","Civil Cooperation Bureau",1
"738","Civil Defense Force (CDF)",1
"739","civil guards",1
"740","Civilian Defense",1
"741","Civilian Joint Task Force (JTF)",1
"742","Civilians Seeking Revenge",1
"743","Civil Servants and Unionists",1
"744","Civil War Veterans",2
"745","Clandestini Corsi",2
"746","Cleansing Hand (La Mano Que Limpia)",1
"747","Cleansing Squad",2
"748","Coalition for Unity and Democracy (CUD)",4
"749","Coalition of National Brigades",1
"750","Coalition to Save the Preserves (CSP)",8
"751","Coca Farmers",5
"752","Colombian Guerrillas",15
"753","Colombian Patriotic Resistance",3
"754","Colombian Revolution",1
"755","Colombians",1
"756","Colombia Without Guerrillas",4
"757","Colonel Albert Kahasha Militia",1
"758","Colonel Karuna Faction",9
"759","Columbia PM",2
"760","Column 88",4
"761","Comando Autónomo Voltaire Argandoña",1
"762","Comando Bautista B",1
"763","Comando Independiente Revolucionario",1
"764","Comando Malvinas Argentinas",1
"765","Comando Vermelho (Red Command)",1
