"","motive","times"
"38","Abu Baseer, spokesperson for the Ansarul Mujahideen sub-group of Tehrik-i-Taliban Pakistan (TTP), claimed responsibility for the incident, stating that they targeted the Shiite community in order to seek revenge ""for the brutalities on Sunni Muslims in Syria and Iraq.""",2
"39","Abu Baseer, the spokesperson for Mujahideen Ansar, claimed responsibility for the incident and stated that the attack was staged to avenge individuals who have been victims of drone strikes.",1
"40","Abu Bassir, a spokesperson for Mujahideen Ansar, stated that the group carried out the attack to avenge the death of Haqqani Network commander Sangin Zadran, who was killed in a United States (US) drone strike.",1
"41","Abu Hafs al-Masri Brigades said that the attack was retribution for Spain's cooperation with the United States in the Iraq War.",6
"42","Abu Misry, a spokesperson for the Bangsamoro Islamic Freedom Movement (BIFM), stated that the attack was in retaliation for the killing of a group member by the military.  However, a government source speculated that the attack was an attempt to derail scheduled peace talks between the government and the Moro Islamic Liberation Front (MILF).",9
"43","Abu Misry Mama, a spokesperson for the Bangsamoro Islamic Freedom Movement (BIFM), claimed responsibility for the incident and stated that the attack was carried out in revenge for the recent abduction of two civilians, who the BIFM believed were detained by the military.",2
"44","Abu Misry Mama, spokesperson for the Bangsamoro Islamic Freedom Movement (BIFM), claimed responsibility for the incident, stating that the assault was in retaliation for militia attacks against BIFM-held areas.",2
"45","Abu Misry Mama, spokesperson for the Bangsamoro Islamic Freedom Movement (BIFM), claimed responsibility for the incident, stating that the attack was in retaliation for the torture and killing of a fellow BIFM member by Filipino soldiers.",3
"46","Abu Misry, spokesperson for the Bangsamoro Islamic Freedom Movement (BIFM), claimed responsibility for the incident, pledging further attacks against the Filipino military ""until they leave Maguindanao."" Moreover, a Filipino military official posits that the BIFM executed the attack in an effort to disrupt the ongoing peace negotiations between the government and the Moro Islamic Liberation Front (MILF).",2
"47","Abu Mohammed al-Adnani, a spokesperson for Al-Qa'ida in Iraq (AQI), stated in an audio recording posted to a website that the attack was in response to Shiite campaigns which targeted Sunni people in their homes. Furthermore, AQI was targeting security and government forces in ""revenge for the elimination and torture campaigns that Sunni men and women face in the prisons of Baghdad and other cities.""",32
"48","Abu Qaqa, a Boko Haram spokesperson, claimed responsibility and stated that the attack was designed to free one of the group's members who had been imprisoned in the police station.  Abu Qaqa also further stated that the attack was carried out because police and security forces are always considered targets by the group.",1
"49","Abu Qaqa, a spokesperson for Boko Haram, claimed responsibility for the attack and stated that the group targeted the newspapers because it objected to how Boko Haram was being represented in media reports.",2
"50","Abu Qaqa, a spokesperson for Boko Haram, claimed responsibility for the attack on the fish market, stating that traders at the market were targeted because they had arrested some of the group's members and handed them over to the Joint Task Force (JTF) of the Nigerian Army.",1
"51","Abu Qaqa, a spokesperson for Boko Haram, claimed responsibility for the attack, stating that it was carried out in direct response to claims by the Nigerian government that recent military action had weakened the group.",2
"52","Abu Qaqa, a spokesperson for Boko Haram, claimed the attack in an email sent to journalists, stating that Sokoto was targeted because many Boko Haram members are imprisoned there.",4
"53","Abu Qusay, a Al-Aqsa Martyrs Brigade leader in Gaza, said that the attack was meant to show that the group could ""reach any place in Israel, even the heavily protected places, such as a port or airport.""",1
"54","Abu Rasheed Lashkari, a Lashkar-e-Islam (Pakistan) spokesperson, claimed responsibility for the attack and stated that the victim, a leader of an anti-Taliban militia, was targeted in revenge for the killing of eight of the group's members.  In a competing claim, Ehsanullah Ehsan, a spokesperson for the Tehrik-i-Taliban Pakistan (TTP), claimed responsibility for the attack and stated that the victim was targeted because he had raised an anti-Taliban militia and was actively working against the group.",1
"55","Abu Safian, spokesperson for Lashkar-e-Jhangvi, claimed responsibility for the incident, stating that they targeted Matanat Ali Khan because he and the prison management system were responsible for torturing some of their imprisoned members.",1
"56","Abu Walid Sahroui, spokesperson for the Movement for Oneness and Jihad in West Africa (MUJAO), claimed responsibility for the attack, stating that the group was creating ""a new combat zone"".",1
"57","A Caucasus Emirate spokesperson stated that Akhmet Kotiyev was targeted because he was the head of an organization which was waging a war against Islam. Additionally, a colleague of Kotiyev stated that he was targeted because of his rehabilitation work with former terrorists.",1
"58","According to a claim of responsibility purportedly made by the Movement for the Emancipation of the Niger Delta (MEND), the attack was the first in a campaign to make themselves known, end oil production in Nigeria, and drive out oil companies. The asserted goal was the realization of a more equitable distribution of national oil wealth, particularly for citizens living in the Niger Delta region. The claim maintained that they had been warning citizens about Nigerian leadership, especially President Goodluck Jonathan, whom they accused of wasting public funds and failing to address the nation's and citizens' hardships. Furthermore, South African interests were threatened due to allegations that President Jacob Zuma interfered with efforts to achieve more equitable distribution of wealth and because an alleged MEND leader was imprisoned in the country.",1
"59","According to a government source, the victims were accused of supporting the government and foreign troops.",1
"60","According to a leaflet found at the scene of the attack, an unidentified anarchist group claimed responsibility for the incident, stating simply, ""Free the Jailed Anarchists.""",1
"61","According to a letter discovered at the scene, Kiran, the district secretary of the Communist Party of India - Maoist (CPI-Maoist), claimed responsibility for the incident, stating that the CPI-Maoist targeted Bhagat because he was working as a police informant. Moreover, the CPI-Maoist accused Bhagat of being responsible for an incident that resulted in the death of nine Maoists on April 16, 2013.",1
"62","According to a letter found on the victim's person, the People's Liberation Front of India, a Maoist faction, claimed responsibility for the incident, stating that they punished Jitender Singh for disobeying their ordinances regarding welfare work.",1
"63","According to a media source, the victim was a former member of the Garo National Liberation Army and was killed in retaliation for leaving the group.  However, Sohan Shira, a leader in the Garo National Liberation Army, stated in a note that the victim was killed because he failed to reimburse the group for the cost of an AK-47, which he instead handed over to police.",1
"64","According to an emailed statement, Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan) claimed responsibility for the abduction, stating that it was carried out in response to French military intervention in Mali.",1
"65","According to an online statement, Combative Minority claimed responsibility for the incident, stating that they targeted Giannis Papantoniou because he was a former member of the government and corrupt.",1
"66","According to an online statement, Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident, stating that the attack was in retaliation for the Iraqi government's alleged ""crimes"" against the minority Sunni community. Moreover, the armed Islamist outfit claims that the incident was part of its newly launched offensive campaign called ""Harvesting the Soldiers"".",23
"67","According to an online statement, the Informal Anarchist Federation claimed responsibility for the attack, stating that they targeted the Golden Dawn party offices because they wanted to attack them first before Golden Dawn attacked them.",1
"68","According to an online statement, Unsubordinated Desires, also known as Rebellious Desires, claimed responsibility for the incident, stating that they executed the attack in order to support imprisoned anarchist Costas Sakkas.",1
"69","According to a note left on the corpse of the victim, the Zetas killed the victim because he had betrayed the group.  Sources speculated that the victim, a newspaper journalist, may have been killed because of his reporting on drug crime.",1
"70","According to a pamphlet found at the scene of the attack, Maoists claimed responsibility for the incident, stating that they targeted the victim because he was a police informant.",1
"71","According to a pamphlet found at the scene of the killing, Maoists claimed responsibility for the incident, stating that they attacked Pandu Madkami because he was a police informant.",1
"72","According to a source, immediately prior to the attack, Maoists asked local village women if the presence of a liquor manufacturor was a disturbance. When women stated it was, the Maoists burned the liquor manufacturing unit down.  Maoists also left pamphlets at the scene warning against bringing liquor back to the village.",1
"73","According to a source, Maoists targeted the petrol station after its owner refused to pay a levy to the group.",1
"74","According to a source, the Maoists killed the six villagers because they were tied to the killing of two Maoist sympathizers, Somu Bodra and Hangera Hansa Munda.",1
"75","According to a source, the Revolutionary Armed Forces of Colombia (FARC) originally held the pilots because they falsely suspected that they were involved in surveillance of the group.",1
"76","According to a source, the victim was killed by Maoists because the group accused him of being a  police informer.",1
"77","According to a spokesperson for Al-Qa'ida in the Arabian Peninsula (AQAP), the attack was carried out in revenge for an army offensive against the group in southern Yemen and the targeting of the group's senior members in air strikes.  The spokesperson also noted that the target was the military leader of the offensive in southern Yemen.",1
"78","According to a statement by the group, the attack was in response to Algeria allowing France to use its airspace to launch air strikes on armed groups in northern Mali.  The attackers demanded the release of 100 Algerian prisoners to northern Mali and an end to French attacks in the region.  Sources note France had begun military operations against armed groups in northern Mali five days earlier.",1
"79","According to a statement issued by the group claiming responsibility for the attack, the bombing was intended ""to avenge the innocent blood of the martyrs of Islam.""",1
"80","According to a statement posted online, Al-Qa`ida in the Lands of the Islamic Maghreb (AQLIM) claimed responsibility for the incident, stating that they executed the attack in retaliation for France's recent intervention in Mali.",1
"81","According to a statement published online by unknown assailants, the attack was meant to honor the two-year anniversary of the death of Lambros Fountas, who was a member of the group Revolutionary Struggle.",1
"82","According to a statement published on the Internet, the al-Nusrah Front claimed responsibility for the attack, stating that it was ""in revenge for the Muslim children of the Sunni community who suffered from the crimes of the Alawites and their collaborators.""",1
"83","According to a statement published on the Internet, the anarchist group, Mateo Morral Insurrectionist Commandos, claimed responsibility, stating that it wanted to attack places that the Spanish Borbon monarchy considers sacred.",1
"84","According to a string of Twitter messages, Al-Shabaab claimed responsibility for the incident, stating that the attack was part of their ""Ramadan offensive"" campaign.",1
"85","According to a Syrian rebel operative, the UN Peacekeepers were taken hostage in order to secure the removal of Bashar al-Assad's forces from Jamlah.",1
"86","According to a Tehrik-i-Taliban Pakistan (TTP) spokesperson, the victim was targeted in retaliation for the killing of Sheikh Naseeb Khan, a senior member of TTP.",1
"87","According to a tribal source, the pipeline was targeted because tribesmen in conflict with the Yemeni government are demanding the reinstatement of soldiers discharged after the civil war and better government services, as well as compensation from a special government Grievance Committee.  However, a government source stated that attacks are not being carried out by tribesmen, but instead by Al-Qa`ida in the Arabian Peninsula (AQAP) in an attempt to harm the government.",1
"88","According to authorities, the communiqué left at the scene stated to get out of El Salvador and Nicaragua and called for support for locked up freedom fighters and grand jury resisters.",1
"89","According to banners hung by the Knights Templar (Caballeros Templarios), the trucks were burned because the group believed they were helping transport government intelligence agents.",1
"90","According to both a local and a police source, the Afghan elders were kidnapped in an attempt to force their sons to quit their jobs in the Afghan government.",1
"91","According to fliers passed out in surrounding localities, Maoist insurgents blew up the railway tracks in response to what they said is a campaign of violence by local police against villagers.",1
"92","According to government officials, the attackers were demanding unpaid stipends and foreign medical care promised to them by the government under former ruler Moammar Gadhafi.",1
"93","According to graffiti messages such as ""For the independence of the Pattani State,"" the aim was to further the independence movement in Pattani.",1
"94","According to his confession, Junaid Khan, the apprehended suspect with connections to Lashkar-e-Jhangvi, claimed responsibility for the incident, stating that he intended ""to spill blood and cause sectarian violence"" against Pakistan's Shiite population.",1
"95","According to information obtained, young boys abducted have been enrolled by force into the rebel army, while the girls serve as sex slaves for the soldiers.",1
"96","According to letters found at the scene of the killing, Maoists claimed responsibility for the incident, stating that they attacked Gumpha Kadraka because they believed that he was a police informant.",1
"97","According to local officials, the Taliban kidnapped the parliament member in order to exchange her for both a ransom and the freedom of four Taliban commanders being held in prison.",1
"98","According to local residents and politicians, the group attacked the bus because it believed that some of its passengers were responsible for the murder of a Buddhist woman one week earlier.  A source speculated that the attack may be part of a larger trend of sectarian violence between Myanmar's Buddhist majority and Muslim minority.",1
"99","According to local sources, the woman was killed because the attackers believed she was a sorcerer.  They then left her head on the door of the house of another accused ""sorcerer"" as a warning.",1
"100","According to local witnesses and government sources, the attackers were angry over an art exhibition in Tunisia, which they claimed was insulting to Islam.",1
"101","According to local witnesses, Boko Haram targeted the victims because they were relatives of the Civilian Joint Task Force (JTF) members who engage in anti-Boko Haram operations.",1
"102","According to local witnesses, the assailants targeted the village because of their support for the civilian Joint Task Force (JTF).",1
"103","According to local witnesses, the truck was set on fire after the owners refused to pay a revolutionary tax.",1
"104","According to military officials, Al-Nusrah Front kidnapped the Fijian peacekeepers so that specific demands could be met. Among those demands, it was requested that the group be removed from the UN list of terrorist groups. Additionally, Al-Nusrah Front requested that humanitarian aid be sent to specific areas within Damascus. Finally, the group requested monetary compensation for the deaths of three members recently killed by UN officers.",1
"105","According to news sources, the perpetrator posted videos on YouTube shortly before the shooting outlining his intentions, which included the elimination of ""disgraces of human race and failures of natural selection.""  However, many believe that the specific goal was to carry out a copy-cat shooting of the Virginia Tech Shooting in April 2007.",1
"106","According to official sources, Borbabu was killed for not paying the extortion demanded by the militants.",1
"107","According to one source, the bombers targeted Kurdish demonstrators who were protesting a provincial elections measure blocked in parliament because of disagreement over a power-sharing formula in the disputed city of Kirkuk, an oil-rich area.",2
"108","According to pamphlets discovered at the scene of the incident, Maoists claimed responsibility for the incident, stating that they targeted Sumat Usendi because he was a police informant.",1
"109","According to pamphlets left at the scene of the attack, the assailants claimed that the attack was in retaliation for police action against local small-scale mining activities.",1
"110","According to police, based on the materials used in the packages, the assailants aimed to instill fear and cause injuries, not cause deaths.",4
"111","According to police, Routh was targeted for being a CPM supporter.",1
"112","According to police sources, Maoists abducted the villagers because they were suspected of being police informants.",1
"113","According to police sources, the two boys were targeted because the assailants believed them to be spies.",1
"114","According to police, the attack was aimed at protesting and obstructing the proposed steel project of TATA in Bastar.",1
"115","According to police, the attack was aimed at targeting the family members of military personnel.",1
"116","According to police, the attack was carried out because the construction company refused to pay extortion money demanded by militants.",1
"117","According to police, the Limbuwan cadres abducted Dahal when he refused to provide $1,668.97 (RS 75,000) demanded as donation from the budget allocated to local canal construction consumers.",1
"118","According to police, the Maoists left some literature citing the company's failure to pay 'levy' to the local CPI-M as the reason behind the attack.",1
"119","According to police, the militants were in search of the People's Liberation Front of India squad leader Mangal Nagesia but upon failing to find him, the militants killed five of his supporters.",1
"120","According to posters and leaflets left behind at the scene of the attack, Maoists demanded an end to Operation Green Hunt and that the government vacate all school buildings that had been converted into police camps.  The group also stated that police forces had been attacking local tribal women.",1
"121","According to posters left at the scene of the attack, the Communist Party of India - Maoist (CPI-M) claimed responsibility for the incident and demanded the closure of all liquor-manufacturing establishments.",1
"122","According to posters left by Maoists, the victim was killed because he was a police informer.",1
"123","According to Radio Mindanao Network, Soliman claimed the attack was in revenge for alleged incidents of violence in Mindanao and the rapes of some Muslim women by soldiers.",1
"124","According to reports, officials claimed that this bombing was part of a growing conspiracy to destabilize President Hugo Chavez's government.",1
"125","According to Shiv Sena district President Anandrao Powar, the attack was to protest the lack of action taken by the government during a drought.",1
"126","According to some police sources, Munda wanted to leave the group following a dispute over distribution of extortion money among the ranks. However, other police sources said that pamphlets recovered from the incident sight claimed that Munda was a police informer.",1
"127","According to sources, a paper left by the People's Revolutionary Party of Kangleipak: Progressive (PREPAK-P) with the grenade demanded an end to the construction of a building for the psychiatry department of the hospital.",1
"128","According to sources, dissident Republican Guard members were protesting a recent decree by Yemeni President Abed Rabbo Mansour Hadi, which reorganized part of the military under presidential oversight and attempted to remove loyalists from former President Ali Abdullah's Saleh regime.  Sources also noted that the attackers came from units under the command of Brigadier General Ahmed Saleh, the former President's son.",1
"129","According to sources, Hussain Nazari and the eight other civilians were killed by the Taliban in retaliation for a recent security operations that killed a number of their members. Additionally, sources noted that the Taliban have vowed to disrupt the upcoming presidential elections, which are scheduled to take place on April 5th, 2014.",1
"130","According to sources, Maoists believed Madvi Joga was a police informant.",1
"131","According to sources, pamphlets were left at the scene of the attack that demanded the return of Mapuche lands and denounced police violence.  Sources also note that the attack occurred on the 5th anniversary of the death of Mapuche student organizer Matias Catrileo at the hands of police.",1
"132","According to sources, the assailants demanded the Libyan government enact legislation that would prohibit former Muammar Gaddafi loyalists from serving in governmental and political positions.",3
"133","According to sources, the attack occurred on the eve of presidential election night and that the LTTE had made a concerted effort to keep the Muslim community from voting.",1
"134","According to sources, the attack targeted Kenyan police in retaliation for their actions earlier in the day against a group of Merille herders. The herders had attempted to graze their cattle in Kenya and were driven back across the border into Ethiopia by the police.",1
"135","According to sources, the kidnappers demanded the release of relatives who had been imprisoned for terrorist activities.",1
"136","According to sources, the LTTE targeted Kamaladasan because he was a member of EPDP and had been an informant for the police and army.  Sources also connected this attack to several other LTTE killings in the north and eastern provinces that occurred after the third anniversary of the cease-fire.",1
"137","According to sources, the New People's Army (NPA) kidnapped the soldier in order to exchange him for a tribal chieftain who was detained on charges of arson.",1
"138","According to statements made by three arrested members of Indian Mujahideen to Delhi police, the attack was in retaliation for the murder of group member Qatil Siddiqi inside Yerawada Jail by two prisoners.",2
"139","According to statements made by three arrested members of the Indian Mujahideen to Delhi police, the attack was in retaliation for the murder of group member Qatil Siddiqi inside Yerawada Jail by two prisoners.",4
"140","According to the announced claim, they were targeting US CIA agents who they claimed were meeting in the Slovak Embassy.",1
"141","According to the claim of responsibility posted to the BiteBack website, the arson attack was carried out ""in defense and retaliation for all the innocent animals that have died cruelly at the hands of human oppressors.""",1
"142","According to the fax claiming responsibility, the lumberyard was targeted because it allegedly ignored warnings to repair forklifts that emit ""far more pollutants than average diesel engines.""",1
"143","According to their testimony during police interrogation, the 10 arrested assailants executed the attack in order to ""intimidate"" the participants of the Muthuramalinga Thevar Guru Pooja.",1
"144","According to the local public security bureau, the bombing was carried out by two individuals who were angry over reduced compensation for land appropriated by the government for a dam construction project.",1
"145","According to the pamphlet, the group's aim was to fight for freedom from ""imperialist control,"" thus the targeting of the American-based Blockbuster.",1
"146","According to the pamphlet, the group's aim was to fight for freedom from ""imperialist control,"" thus the targeting of the American-based Citibank.",1
"147","According to the pamphlet, the group's aim was to fight for freedom from ""imperialist control,"" thus the targeting of the American-based McDonalds.",1
"148","According to the Senator's bodyguards, the kidnappers said that taking Cordoba hostage was meant to send a ""peace message"" to the government of Colombian President Andres Pastrana.",1
"149","According to the source, the AUC members had a list of villagers they believed to be working for the ELN, and those were the men they killed.",1
"150","According to the source, the perpetrators committed this act to protest against the Asian Development Bank's move to extend a loan to India's Kerala State, which was undergoing a financial crisis.",1
"151","According to the victim, reporter Malik Maiga, the Azawad National Liberation Movement (MNLA) beat him and threatened to kill him if he did not cease negative reporting about the group.",1
"152","According to writing discovered on the explosive device, the al-Nusrah Front claimed responsibility for the incident, stating, ""May Bashar Fall. Death to Hezbollah.""",1
"153","Accusations of spying motivated the attack.",1
"154","Accused Haideri of negatively portraying the mujahedin.",1
"155","Achik National Volunteer Council-B (ANVC-B) claimed responsibility for the incident, stating that they carried out the attack because they suspected that the police officers were rivals disguised as police, since they had refused to produce any documents.",1
"156","A'chik Tiger Force claimed responsibility for the incident and stated that the attack was carried out as a message to those paying an extortion to other militant groups to also respond to their demands as well.",1
"157","Acted as part of general mobilization effort in support of the Iraqi people.",1
"158","Actual motive for attack not stated.  However, it occurred in an area referred to as the ""triangle of death.""",1
"159","A FARC broadcast has stated that the mayor will be released when the government accepts his resignation.",1
"160","Afghan military said the attack was to disrupt celebrations for Afghanistan's March 21 new year.",1
"161","African American opposition to the police",2
"162","African American opposition to the policies of the Palm Beach County school district",1
"163","African American opposition to the school integration plan instituted by the federal government.  The government plan closed two Black schools.",1
"164","Afridi had been promoting tolerance working with local leaders against pro-Taliban forces",1
"165","Aftab was shot dead by suspected militants for allegedly being anti-Islam and anti-jihad.",1
"166","After receiving information of ten militants holding a meeting in the area; a police party reached the area and asked them to surrender.",1
"167","After the attack, the police arrested Chroek Mao, a former soldier who claimed he was working with a group of four other people who had been hired to detonate explosives in Phnom Penh by a former soldier, Ouk Satya.  Satya promised Mao and his group $100,000.  Mao did not give the name of his group, but authorities say Satya was attempting to extort money and incite disorder in the area.",2
"168","against the government campaign of salwa judum movement",1
"169","A GAM spokesman said, ""We planted bombs at various corners of the city for three days, starting on Thursday, so that people will stay home and reflect on what Indonesia has done to them. ""By staying home and mourning instead of going out to celebrate, they also won't be targeted by the authorities retaliating against us, like in the past.",7
"170","A government authority reported the presumed objective of the raiders was to cut the Uvira-Bukavu road.",1
"171","A government official stated that this was done to 'incite unrest.'",1
"172","A group claiming to be affiliated with the Janatantrik Tarai Mukti Morcha - Rajan Mukti claimed action was taken against Rana because of his support for the rulers of the hills.",1
"173","Agustin was kidnapped for ransom.",1
"174","A HAMAS spokesman claimed that the attack was a response to Israel’s military barricade of Yasser Arafat’s compound in Ramallah, West Bank.",1
"175","A handwritten note left at the incident site said that the outfit had given a 12 hour call for shut down in Jharkhand to protest the arrest of its leader Uday Ji at Gomia in Bermo on 05/05/2011.",1
"176","A hand written note left at the incident site stated that the bus was targeted because it had run during a 24 hour shutdown.",1
"177","A Hezbal Islam leader, Sheik Mohamed Abu Abdalla, said the men violated the Islamic law and Football descended from the old Christian cultures and our Islamic administration will never allow watching what they call the FIFA World Cup.",2
"178","A Hizb-ul-Mujahidin (HM) spokesman said that the attack was in retaliation of the killing of the group's district commander, Amanullah, and three other fighters by the Indian army.",1
"179","A Hizb-ul-Mujahidin (HM) spokesperson said that the attack was to warn Indian security forces in the Jammu and Kashmir state to stop committing atrocities against common Kashmiris.",1
"180","Ahmad Marwat, a spokesperson for the Tehrik-i-Taliban Pakistan (TTP), claimed responsibility for the attack and stated that the victims were targeted because they were ""Shia infidels"" and that the group would kill Shiites at every opportunity.  Sources noted that the attack is part of a larger trend of sectarian violence between Pakistan's majority Sunni and minority Shiite communities.",1
"181","Ahmed Godane, the leader of Al-Shabaab, claimed responsibility and stated that the attack was meant as a punishment to Kenya for sending security forces into Somalia to combat the group.",1
"182","Ahmed Mansoor, a spokesperson for Ahrar-ul-Hind, claimed responsibility for the incident and stated that such attacks would continue until Sharia law was implemented in Pakistan.",1
"183","Ahmed Mansoor, a spokesperson for Ahrar-ul-Hind, claimed responsibility for the incident and stated that such attacks would continue until Sharia law was implemented in Pakistan. Murid Baloch, a spokesperson for the United Baloch Army, also claimed responsibility and stated that the attack was in retaliation to ongoing security operations in Dera Bugti and Awaran.",1
"184","Ahmed Marwat, a Jundallah spokesperson, claimed responsibility stated that the attack is part of a larger effort to target Pakistan's polio vaccination campaign.",1
"185","Ahmed Marwat, a spokesperson for Jundallah, claimed responsibility for the incident, stating that the victim was targeted for his pro-democracy stance.",1
"186","Ahmed Marwat, a spokesperson for Jundullah, a sub-group of Tehrik-i-Taliban Pakistan (TTP), claimed responsibility and stated that non-Muslims will continue to be targeted so long as drone strikes persist. Additionally, the spokesperson stated that they attacked the Christian church because they were enemies of Islam and any non-Muslims in Pakistan would be targeted in the future.",1
"187","Ahmed Marwat, spokesperson for the Jundullah faction of Tehrik-i-Taliban Pakistan (TTP), claimed responsibility for the incident, stating that the attack was in retaliation for the recent killing of Waliur Rehman, a fellow TTP operative, and drone strikes in the region.",1
"188","Ahnsanullah Ahsan, a spokesperson for Tehrik-i-Taliban (TTP), claimed responsibility for the attack, stating that Mullah Nabi was targeted because he had turned against the group. Sources noted that Mullah Nabi is now said to be associated with pro-government militant groups.",1
